"SiteID","wsArea","pctSili","pctBasa","pctGran","pctCarb","majGeol","elev"
1,1.19370000000078,0,1,0,0,"basaltic",562.568420410156
2,1.73710000000085,0.0112170328731474,0.988782967126853,0,0,"basaltic",514.7548828125
3,2.22320000000109,0.142905154672247,0.857094845327753,0,0,"basaltic",484.425109863281
4,12.9100000000006,0.760504575362931,0.239495424637068,0,0,"siliciclastic",449.914703369141
5,13.1620000000006,0.765089961095231,0.234910038904769,0,0,"siliciclastic",439.135009765625
6,13.9077000000006,0.777685315899494,0.222314684100506,0,0,"siliciclastic",435.7041015625
7,14.3203000000006,0.782602079990761,0.217397920009238,0,0,"siliciclastic",429.179992675781
8,14.4527000000006,0.784593644515675,0.215406355484325,0,0,"siliciclastic",422.966613769531
9,1.97079999999985,0.449508839324253,0.550491160675747,0,0,"basaltic",497.681793212891
10,2.79540000000037,0.479240058500981,0.520759941499019,0,0,"basaltic",484.007385253906
11,2.95910000000052,0.508048953916306,0.491951046083694,0,0,"siliciclastic",470.861114501953
12,3.05110000000075,0.522882783105708,0.477117216894292,0,0,"siliciclastic",457.855194091797
13,1.00329999999977,0.00790641061495315,0.992093589385047,0,0,"basaltic",582.885314941406
14,1.39129999999966,0.0106210019694898,0.98937899803051,0,0,"basaltic",551.218872070312
15,1.86829999999967,0.00790932935832012,0.99209067064168,0,0,"basaltic",522.196472167969
16,2.67669999999988,0.0426173553237787,0.957382644676221,0,0,"basaltic",495.957794189453
17,2.90680000000049,0.0392437990213094,0.960756200978691,0,0,"basaltic",463.814910888672
18,5.59819999999954,0.0203768845334483,0.979623115466552,0,0,"basaltic",446.681304931641
19,5.75279999999963,0.0198292787851393,0.980170721214861,0,0,"basaltic",432.605010986328
20,8.30690000000054,0.215093621951493,0.784906378048507,0,0,"basaltic",416.999389648438
21,8.96570000000054,0.222211454821216,0.777788545178784,0,0,"basaltic",402.674713134766
22,10.697400000001,0.186239762978901,0.813760237021099,0,0,"basaltic",380.922393798828
23,10.860800000001,0.183437798365727,0.816562201634273,0,0,"basaltic",364.225189208984
24,1.42609999999989,0.947659013998757,0.0523409860012431,0,0,"siliciclastic",500.599090576172
25,1.6264000000006,0.954105090914695,0.0458949090853046,0,0,"siliciclastic",491.615814208984
26,1.7597000000006,0.957581701348896,0.0424182986511045,0,0,"siliciclastic",480.893096923828
27,5.51430000000061,0.986463652660112,0.0135363473398879,0,0,"siliciclastic",473.547210693359
28,6.00080000000061,0.987561078500143,0.0124389214998569,0,0,"siliciclastic",466.389709472656
29,6.19490000000061,0.987950817586023,0.0120491824139767,0,0,"siliciclastic",457.851501464844
30,1.42559999999902,0,1,0,0,"basaltic",534.575500488281
31,1.92899999999948,0,1,0,0,"basaltic",497.215393066406
32,2.11429999999919,0,1,0,0,"basaltic",463.963592529297
33,1.10730000000035,1,0,0,0,"siliciclastic",538.774719238281
34,1.48510000000035,1,0,0,0,"siliciclastic",504.736389160156
35,1.65970000000059,1,0,0,0,"siliciclastic",475.476898193359
36,0.804400000000184,0.698753427715847,0.301246572284153,0,0,"siliciclastic",479.336212158203
